-- Medz's Fists Hits Informer --
Time: 15:11:24
Date: 10/01/23
----------------------------------

[TAKEN-FIST] > Name: kiDs.(12) | Class: Wanted | Damage: 2.64 | Health: 100.00 | Armor: 0.00 | Time: 16:54:36 | Date: 10/01/23
[TAKEN-FIST] > Name: kiDs.(12) | Class: Wanted | Damage: 6.60 | Health: 100.00 | Armor: 0.00 | Time: 16:54:36 | Date: 10/01/23
[TAKEN-FIST] > Name: kiDs.(12) | Class: Wanted | Damage: 6.60 | Health: 100.00 | Armor: 0.00 | Time: 16:54:37 | Date: 10/01/23
[TAKEN-FIST] > Name: kiDs.(12) | Class: Wanted | Damage: 6.60 | Health: 100.00 | Armor: 0.00 | Time: 16:54:37 | Date: 10/01/23
[TAKEN-FIST] > Name: kiDs.(12) | Class: Wanted | Damage: 6.60 | Health: 100.00 | Armor: 0.00 | Time: 16:54:37 | Date: 10/01/23
[TAKEN-FIST] > Name: kiDs.(12) | Class: Wanted | Damage: 6.60 | Health: 100.00 | Armor: 0.00 | Time: 16:54:38 | Date: 10/01/23
[TAKEN-FIST] > Name: kiDs.(12) | Class: Wanted | Damage: 6.60 | Health: 100.00 | Armor: 0.00 | Time: 16:54:38 | Date: 10/01/23
[TAKEN-FIST] > Name: kiDs.(12) | Class: Wanted | Damage: 6.60 | Health: 100.00 | Armor: 0.00 | Time: 16:54:38 | Date: 10/01/23
[TAKEN-FIST] > Name: kiDs.(12) | Class: Wanted | Damage: 6.60 | Health: 100.00 | Armor: 0.00 | Time: 16:54:39 | Date: 10/01/23
[TAKEN-FIST] > Name: kiDs.(12) | Class: Wanted | Damage: 6.60 | Health: 100.00 | Armor: 0.00 | Time: 16:54:39 | Date: 10/01/23
[TAKEN-FIST] > Name: kiDs.(12) | Class: Wanted | Damage: 6.60 | Health: 100.00 | Armor: 0.00 | Time: 16:54:39 | Date: 10/01/23
[TAKEN-FIST] > Name: kiDs.(12) | Class: Wanted | Damage: 6.60 | Health: 100.00 | Armor: 0.00 | Time: 16:54:40 | Date: 10/01/23
[TAKEN-FIST] > Name: kiDs.(12) | Class: Wanted | Damage: 6.60 | Health: 100.00 | Armor: 0.00 | Time: 16:54:40 | Date: 10/01/23
[TAKEN-FIST] > Name: kiDs.(12) | Class: Wanted | Damage: 6.60 | Health: 100.00 | Armor: 0.00 | Time: 16:54:41 | Date: 10/01/23
[TAKEN-FIST] > Name: kiDs.(12) | Class: Most Wanted | Damage: 6.60 | Health: 100.00 | Armor: 0.00 | Time: 16:54:41 | Date: 10/01/23
[TAKEN-FIST] > Name: kiDs.(12) | Class: Most Wanted | Damage: 6.60 | Health: 100.00 | Armor: 0.00 | Time: 16:54:41 | Date: 10/01/23
[TAKEN-FIST] > Name: kiDs.(12) | Class: Most Wanted | Damage: 6.60 | Health: 100.00 | Armor: 0.00 | Time: 16:54:42 | Date: 10/01/23
[TAKEN-FIST] > Name: sopers_dsoper(20) | Class: Wanted | Damage: 1.32 | Health: 100.00 | Armor: 0.00 | Time: 16:57:42 | Date: 10/01/23
[TAKEN-FIST] > Name: sopers_dsoper(20) | Class: Wanted | Damage: 2.31 | Health: 100.00 | Armor: 0.00 | Time: 16:57:43 | Date: 10/01/23
[TAKEN-FIST] > Name: sopers_dsoper(20) | Class: Wanted | Damage: 3.96 | Health: 100.00 | Armor: 0.00 | Time: 16:57:43 | Date: 10/01/23
[TAKEN-FIST] > Name: sopers_dsoper(20) | Class: Wanted | Damage: 1.32 | Health: 100.00 | Armor: 0.00 | Time: 16:57:44 | Date: 10/01/23
[TAKEN-FIST] > Name: sopers_dsoper(20) | Class: Wanted | Damage: 2.31 | Health: 100.00 | Armor: 0.00 | Time: 16:57:45 | Date: 10/01/23
[TAKEN-FIST] > Name: sopers_dsoper(20) | Class: Wanted | Damage: 3.96 | Health: 100.00 | Armor: 0.00 | Time: 16:57:45 | Date: 10/01/23
[TAKEN-FIST] > Name: sopers_dsoper(20) | Class: Wanted | Damage: 1.32 | Health: 100.00 | Armor: 0.00 | Time: 16:57:46 | Date: 10/01/23
[TAKEN-FIST] > Name: sopers_dsoper(20) | Class: Wanted | Damage: 2.31 | Health: 100.00 | Armor: 0.00 | Time: 16:57:46 | Date: 10/01/23
[TAKEN-FIST] > Name: sopers_dsoper(20) | Class: Wanted | Damage: 3.96 | Health: 100.00 | Armor: 0.00 | Time: 16:57:47 | Date: 10/01/23
[TAKEN-FIST] > Name: sopers_dsoper(20) | Class: Wanted | Damage: 1.32 | Health: 100.00 | Armor: 0.00 | Time: 16:57:48 | Date: 10/01/23
[TAKEN-FIST] > Name: sopers_dsoper(20) | Class: Wanted | Damage: 1.32 | Health: 100.00 | Armor: 0.00 | Time: 16:57:48 | Date: 10/01/23
[TAKEN-FIST] > Name: sopers_dsoper(20) | Class: Wanted | Damage: 2.31 | Health: 100.00 | Armor: 0.00 | Time: 16:57:48 | Date: 10/01/23
[TAKEN-FIST] > Name: sopers_dsoper(20) | Class: Wanted | Damage: 1.32 | Health: 100.00 | Armor: 0.00 | Time: 16:57:50 | Date: 10/01/23
[TAKEN-FIST] > Name: sopers_dsoper(20) | Class: Wanted | Damage: 2.31 | Health: 100.00 | Armor: 0.00 | Time: 16:57:50 | Date: 10/01/23
[TAKEN-FIST] > Name: sopers_dsoper(20) | Class: Wanted | Damage: 3.96 | Health: 100.00 | Armor: 0.00 | Time: 16:57:51 | Date: 10/01/23
[TAKEN-FIST] > Name: sopers_dsoper(20) | Class: Wanted | Damage: 1.32 | Health: 100.00 | Armor: 0.00 | Time: 16:57:51 | Date: 10/01/23
[TAKEN-FIST] > Name: sopers_dsoper(20) | Class: Wanted | Damage: 2.31 | Health: 100.00 | Armor: 0.00 | Time: 16:57:52 | Date: 10/01/23
[TAKEN-FIST] > Name: sopers_dsoper(20) | Class: Wanted | Damage: 3.96 | Health: 100.00 | Armor: 0.00 | Time: 16:57:52 | Date: 10/01/23
[TAKEN-FIST] > Name: sopers_dsoper(20) | Class: Wanted | Damage: 1.32 | Health: 100.00 | Armor: 0.00 | Time: 16:57:53 | Date: 10/01/23
[TAKEN-FIST] > Name: sopers_dsoper(20) | Class: Wanted | Damage: 2.31 | Health: 100.00 | Armor: 0.00 | Time: 16:57:53 | Date: 10/01/23
[TAKEN-FIST] > Name: sopers_dsoper(20) | Class: Wanted | Damage: 3.96 | Health: 100.00 | Armor: 0.00 | Time: 16:57:54 | Date: 10/01/23
[TAKEN-FIST] > Name: sopers_dsoper(20) | Class: Wanted | Damage: 1.32 | Health: 100.00 | Armor: 0.00 | Time: 16:57:55 | Date: 10/01/23
[TAKEN-FIST] > Name: sopers_dsoper(20) | Class: Wanted | Damage: 2.31 | Health: 100.00 | Armor: 0.00 | Time: 16:57:55 | Date: 10/01/23
[TAKEN-FIST] > Name: sopers_dsoper(20) | Class: Wanted | Damage: 3.96 | Health: 100.00 | Armor: 0.00 | Time: 16:57:56 | Date: 10/01/23
[TAKEN-FIST] > Name: sopers_dsoper(20) | Class: Wanted | Damage: 1.32 | Health: 100.00 | Armor: 0.00 | Time: 16:57:57 | Date: 10/01/23
[TAKEN-FIST] > Name: sopers_dsoper(20) | Class: Wanted | Damage: 1.32 | Health: 100.00 | Armor: 0.00 | Time: 16:57:57 | Date: 10/01/23
[TAKEN-FIST] > Name: sopers_dsoper(20) | Class: Wanted | Damage: 2.31 | Health: 100.00 | Armor: 0.00 | Time: 16:57:57 | Date: 10/01/23
[TAKEN-FIST] > Name: sopers_dsoper(20) | Class: Wanted | Damage: 3.96 | Health: 100.00 | Armor: 0.00 | Time: 16:57:58 | Date: 10/01/23
[TAKEN-FIST] > Name: sopers_dsoper(20) | Class: Wanted | Damage: 1.32 | Health: 100.00 | Armor: 0.00 | Time: 16:57:59 | Date: 10/01/23
[TAKEN-FIST] > Name: sopers_dsoper(20) | Class: Wanted | Damage: 1.32 | Health: 100.00 | Armor: 0.00 | Time: 16:57:59 | Date: 10/01/23
[TAKEN-FIST] > Name: sopers_dsoper(20) | Class: Wanted | Damage: 1.32 | Health: 100.00 | Armor: 0.00 | Time: 16:58:00 | Date: 10/01/23
[TAKEN-FIST] > Name: sopers_dsoper(20) | Class: Wanted | Damage: 1.32 | Health: 100.00 | Armor: 0.00 | Time: 16:58:01 | Date: 10/01/23
[TAKEN-FIST] > Name: sopers_dsoper(20) | Class: Most Wanted | Damage: 1.32 | Health: 100.00 | Armor: 0.00 | Time: 16:58:11 | Date: 10/01/23
